feature,importance
volatility_20,0.12076410707336481
volume,0.08778206128031205
days_from_start,0.08609336704720454
vol_ma_5,0.08087759133619035
volume_vs_ma_5,0.07492365415171379
price_vs_ma_20,0.06894696457057166
price_vs_ma_5,0.06819154870868185
close,0.06590703250175588
price_ma_5,0.06232593819566808
price_ma_20,0.06214230585551095
week_of_year,0.06084932592059541
month,0.033242832842857915
event_text_char_count,0.017232950988598734
ticker_AMD,0.0163560745935668
ticker_LRCX,0.013312513853239272
ticker_BRK.B,0.008248085350876877
ticker_ABBV,0.0049857050366955745
ticker_ORCL,0.004771947092742128
sec_filing_text_count,0.004599744209807516
sec_event_count,0.004173296584737816
ticker_MA,0.003499075199903621
has_text,0.0031333889469147887
ticker_NFLX,0.003120720375470342
text_source_count,0.002972715133558775
ticker_CSCO,0.002956686368849064
ticker_GE,0.0029491490917569778
has_sec_filing,0.0026437527434289678
ticker_META,0.0025640525705488745
ticker_AVGO,0.002337487808950251
ticker_GOOG,0.0022962248934834824
ticker_MSFT,0.0022452604459319964
ticker_UNH,0.0020657269882183374
ticker_CAT,0.002026444449398626
ticker_LLY,0.002011699529958638
ticker_MRK,0.0018183762663579446
ticker_BAC,0.0017464147159876099
ticker_KO,0.001723658825731214
ticker_COST,0.0016776294840195225
ticker_XOM,0.0016536370815341166
ticker_INTC,0.001394789732997067
ticker_GS,0.00138810814675245
ticker_CVX,0.001286431207750283
ticker_MS,0.0012177442948748183
ticker_HD,0.0011049194037344623
ticker_PG,0.0009774668676968486
ticker_PM,0.0008815552897978207
ticker_JNJ,0.0005798369417010255
has_yahoo_news,0.0
has_finnhub_news,0.0
yahoo_event_count,0.0
finnhub_event_count,0.0
